letter,corr_resp,trial_type,lure_type,n_type,block,trial
N,f,nontarget,na,1,1,1
X,f,nontarget,na,1,1,2
X,j,target,na,1,1,3
B,f,nontarget,na,1,1,4
M,f,nontarget,na,1,1,5
M,j,target,na,1,1,6
G,f,nontarget,na,1,1,7
C,f,nontarget,na,1,1,8
T,f,nontarget,na,1,1,9
T,j,target,na,1,1,10
C,f,nontarget,na,1,1,11
P,f,nontarget,na,1,1,12
