letter,corr_resp,trial_type,lure_type,n_type,block,trial
K,f,nontarget,na,2,2,1
D,f,nontarget,na,2,2,2
K,j,target,na,2,2,3
S,f,nontarget,na,2,2,4
D,f,lure,three,2,2,5
S,j,target,na,2,2,6
G,f,nontarget,na,2,2,7
A,f,nontarget,na,2,2,8
A,f,lure,one,2,2,9
G,f,lure,three,2,2,10
T,f,nontarget,na,2,2,11
G,j,target,na,2,2,12
